LEFT	NODE	RIGHT
karena/nn itu/dt jangan/neg lupa/jj untuk/in menghancurkan/nn isi/nn data/nn ,/, sebelum/sc anda/nn	memberikan/vbt	harddisk/nn yang/sc pernah/rb anda/nn pakai/vbt itu/dt ke/in pihak/nnc lain/jj ./.
orang/nn hendaknya/nn sabar/nn	memberikan/vbt	waktu/nnc yang/sc mengizinkan/nn adanya/nng peluang/nnu bagi/in peralihan/nn ini/dt mendapat/vbt tempat/nnc ,/, kata/vbt pengamat/nn palestina/nn men
mengenai/nn bid/nn preemptif/nn dari/in foothills/nn ,/, haskayne/nn mengatakan/vbi ,/, ``/nn bila/nn mereka/prp berpikir/vbi bahwa/sc itu/dt	memberikan/vbt	mereka/prp semacam/rb posisi/nnc prioritas/nn ,/, ya/uh ,/, itu/dt adalah/vbt strategy/nn mereka/prp ./.
lembaga/nn pemeringkat/nn efek/nnp internasional/jj fitch/nn ratings/nn ,/, jumat/nn ,/,	memberikan/vbt	peringkat/nnc nasional/jj jangka/nn panjang/jj a/nn idn/nn untuk/in pt/nn bank/nn syariah/nn muamalat/nn indonesia/nn tbk/nn muamalat/nn ,/, dengan/i
merika/nn serikat/nn memberikan/vbt amnesti/nn kepada/in para/dt ilmuwan/nn yang/sc terlibat/vbi di/in unit/nn 731/nn ,/, namun/cc mereka/prp harus/md	memberikan/vbt	semua/cdi data/nn eksperimen/nn mereka/prp kepada/in pihak/nnc amerika/nn ./.
jurubicara/nn nato/nn menolak/vbt	memberikan/vbt	detil/nn kejadian/nnu ,/, dan/cc mengatakan/vbi bahwa/sc dengan/in menyebutkan/vbt provinsi/nn dapat/md mengungkap/nn kewarganegaraan/nn prajurit/nn
bank/nn danamon/nn telah/md meresmikan/nn layanan/nn office/nn channeling/nn oc/nn di/in sulawesi/nn selatan/nn sulsel/nn ,/, yang/sc akan/md	memberikan/vbt	kemudahan/nn bagi/in nasabah/nn akses/nn kepada/in produk/nnc dan/cc layanan/nn syariah/nn melalui/vbt kantor-kantor/jj cabang/nn konvensional/nn ./.
sekertaris/nn umum/nnp opec/nn subrotot/nn menjelaskan/vbi :/: konsumen/nn memberikan/vbt jaminan/nn pasar/nnc ,/, sedangkan/nn opec/nn	memberikan/vbt	jaminan/nn penawaran/nn ./.
saham/nn tersebut/dt tutup/nn kemarin/nn pada/in tingkat/nnc $/nn 33.625/nn ,/,	memberikan/vbt	saham/nnc tuan/nn icahn/nn yang/sc sejumlah/cdi 33.6/nnp juta/cdp nilai/nnc sebesar/rb $/nn 1.13/nn miliar/nn ./.
obligasi/nn dana/nnc jangka/nn pendek/nn ,/, dengan/in rat-rat/nn jatuh/nn tempo/nn 2/cdp 1v2/nn tahun/nnc ,/, akan/md	memberikan/vbt	toal/nn keuntungan/nn untuk/in satu/cdp tahun/nnc sekitar/cdi 10.6/rb %/sym jika/sc tarif/nn turun/nn satu/cdp persen/jj angka/nnc dann/nn keuntungan
