LEFT	NODE	RIGHT
para/dt pemain/nnc yang/sc akan/md berkompetisi/nn dalam/in turnamen/nn kualifikasi/nn	memberi/vbt	kamu/nn peluang/nnu besar/jj untuk/in lolos/nn ke/in olimpiade/nn di/in beijing/nn ,/, katanya/nng
tidak/neg seorang/nnc pun/rp dari/in klub/nnc tersebut/dt yang/sc segera/rb	memberi/vbt	komentar/nn ./.
ic/nn remy/nn ,/, yang/sc dipinjam/nn oleh/in lyon/nn selama/sc bursa/nnc transfer/nn januari/nn ,/,	memberi/vbt	tim/nnp tuan/nnc rumah/nnc keunggulan/nn saat/sc waktu/nnc pertandingan/nnc tersisa/vbt 17/cdp meni
an/vbt rekaman/nnc dari/in masa/nnc awal/jj yang/sc panjang/jj ini/dt ,/, saya/prp tidak/neg bisa/md	memberi/vbt	jawaban/nn yang/sc memuaskan/vbt ./.
selain/nn beras/nnc ,/, saya/prp tidak/neg melihat/vbi ada/vbi yang/sc	memberi/vbt	kontribusi/cdp signifikan/nn terhadap/in laju/nnc inflasi/nn ,/, katanya/nng ./.
unia/nn piala/nn fed/nn 3-2/nn atas/in prancis/nn pada/in akhir/jj pekan/nn lalu/jj ketika/sc ia/prp	memberi/vbt	tim/nnp tuan/nnc rumah/nnc poin/nn pertama/cdo dengan/in kemenangan/nn mengejutkan/vbt atas/in razz
amendemen/nn pasal/nnc 179/nn ,/, menurut/vbt amnesti/nn internsional/nn ,/, akan/md	memberi/vbt	wewenang/nn lebih/rb besar/jj kepada/in polisi/nnc untuk/in melakukan/vbt penangkapan/pengolahan ,/
penggunaan/nn aspirin/nn selama/sc 1/cdp sampai/vbt 5/cdp tahun/nnc tampaknya/vbi	memberi/vbt	perlindungan/nn terhadapi/nn penyakit/nnc jantung/nnc ,/, sedangkan/nn penggunaan/nn sedikitnya/nng
di/in ibukota/nn yang/sc baru/rb direbut/nn ,/, pemerintah/nnc	memberi/vbt	warga/nnc dan/cc anggota/nnc milisi/nn waktu/nnc tiga/cdp hari/nnc mulai/rb selasa/nn untuk/in meny
ikan/vbt pembiayaan/nn jangka/nn panjang/jj untuk/in danamon/nn untuk/in membantu/vbt bank/nn itu/dt	memberi/vbt	pembiayaan/nn yang/sc lebih/rb besar/jj pada/in ukm/nn ./.
bahkan/nn tanpa/rb ancaman/nnu khusus/jj pengambil/nn alihan/nn ,/, courtaulds/nn	memberi/vbt	pemegang/nnc saham/nnc `/nn pilihan/nnc dan/cc nilai/nnc ''/nn ,/, kata/vbt julia/nn blake/nn ,/, s
/nnc perdagangannya/nn di/in chicago/nn ,/, c&d/nn commodities/nn ,/, dapat/md dihubungi/nn untuk/in	memberi/vbt	komentar/nn ./.
kedua/cdp dan/cc deivid/nn memperbaiki/vbt kesalahannya/nn dengan/in menjebloskan/nn bola/nn dan/cc	memberi/vbt	angka/nnc kemenangan/nn bagi/in timnya/nn pada/in akhir/jj pertandingan/nnc ./.
ekaragaman/nn jenis/nnc burung/nn finch/nn yang/sc diamatinya/nn di/in kepulauan/nn galapagos/nn ,/,	memberi/vbt	andil/nn dalam/in perumusan/nn teorinya/nn ./.
i/nn demikian/dt ,/, sri/nn mulyani/nn mengakui/vbi setidaknya/nn ada/vbi tiga/cdp faktor/nn yang/sc	memberi/vbt	resiko/nn terhadap/in proyeksi/nn ekonomi/nnu 2007/nn dan/cc 2008/nn yaitu/sc pertama/cdo ,/, menur
korea/nn selatan/nn	memberi/vbt	pinjaman/nn lunak/nn kepada/in indonesia/nn melalui/vbt economic/nn development/nn project/nn senil
sebelumnya/nn pada/in hari/nnc yang/sc sama/in ,/, dua/cdp gol/nn dari/in loris/nn arnaud/nn	memberi/vbt	paris/nn st/nn germain/nn kemenangan/nn 2-1/nn atas/in tim/nnp ligue/nn 2/cdp bastia/nn dalam/in pe
sementara/nn itu/dt ,/, pemerintah/nnc peru/nn mendesak/vbi pelancong/nn dan/cc warganya/nn agar/in	memberi/vbt	suara/nnc untuk/in objek/nn wisata/nn machu/nn picchu/nn di/in andea/nn sebagai/sc salah/jj satu/cd
ol/nn pun/rp dalam/in empat/cdp kali/nnc upaya/nn tendangan/nn penalti/nn mereka/prp ,/, sehingga/sc	memberi/vbt	kesempatan/nnu kepada/in klub/nnc divisi/nnp keempat/cdo itu/dt untuk/in menang/nn dengan/in dua/cd
senegal/nn ,/, kamis/nn ,/,	memberi/vbt	penghormatan/nn bagi/in lima/cdp prajuritnya/nn yang/sc tewas/jj di/in wilayah/nnc darfur/nn ,/, su
a/nn pertandingan/nnc namun/cc gagal/jj memanfatkan/nn keuntungan/nn tersebut/dt dan/cc capdevila/nn	memberi/vbt	spanyol/nn memimpin/vbt ketika/sc ia/prp menyarangkan/nn bola/nn dari/in jarak/nn dua/cdp meter/nnc
besar/jj dan/cc kami/prp kecolongan/nn dari/in pojok/nnc serta/cc gol/nn kedua/cdp dari/in karena/cc	memberi/vbt	ruang/nnc gerak/nn terlalu/rb besar/jj bagi/in fernando/nn torres/nn ,/, katanya/nng ./.
dalam/nn kecamannya/nn ,/, amnesty/nn mengatakan/vbi perubahan/nnu tersebut/dt akan/md	memberi/vbt	kekuasaan/nnu besar/jj untuk/in melakukan/vbt penangkapan/pengolahan kepada/in polisi/nnc ,/, mengi
nn dan/cc oksigen/nn pada/in lapisan/nn kulit/nnc yang/sc lebih/rb dalam/in dan/cc mati/vbi untuk/in	memberi/vbt	jalan/nnc bagi/in sel-sel/nn baru/rb ./.
atu/cdp alat/nn di/in pinggir/nn ranjang/nn yang/sc menirukan/nn terbitnya/nn matahari/nn mungkin/rb	memberi/vbt	kelegaan/nn ,/, demikian/dt hasil/nnu suatu/dt studi/nnc ./.
is/nn jankovic/nn sebelum/sc melakukan/vbt servis/nn untuk/in menyudahi/nn pertandingan/nnc tanpa/rb	memberi/vbt	angka/nnc pada/in lawannya/nn untuk/in meraih/nn kemenangan/nn ./.
/nn berkata/vbi bahwa/sc kamu/nn berperan/nn sebagai/sc stimulan/nn ,/, ''/nn seorang/nnc pelacur/nn	memberi/vbt	tahunya/nn ,/, ''/nn suatu/dt pengalih/nn perhatian/nnc dari/in kebosanan/nn orang-orang/nnc ./.
cdp mata/nnc nyaris/nn bulat/nn ,/, masing-masing/dt hampir/rb separuh/nn ukuran/nn kepalanya/nn ,/,	memberi/vbt	serangga/nn ini/dt wilayah/nnc pandang/nnu yang/sc sangat/rb luas/jj ./.
perubahan/nn akan/md	memberi/vbt	dorongan/nn bagi/in kegaitan/nn -lrb-/nn politik/jj -rrb-/nn partai/nnp akan/md mengakhiri/nn perda
ruu/nn tersebut/dt akan/md	memberi/vbt	kuasa/nn pada/in pengadilan/nnc untuk/in memerintakan/nn pemberian/nnu sim/nn semacam/rb itu/dt seb
bagian/cdi anggota/nnc parlemen/nn sayap-kiri/nn di/in dalam/in koalisi/nn sembilan/cdp partainya/nn	memberi/vbt	suara/nnc yang/sc tak/neg mendukung/vbt dia/prp ./.
gen/nn tersebut/dt ,/, ketika/sc diwariskan/vbt dalam/in bentuk/nnc cacat/nn ,/, mungkin/rb dapat/md	memberi/vbt	kecenderungan/nnu besar/jj bagi/in wanita/nnc terhadap/in kanker/nn ./.
wewenang/nn lebih/rb besar/jj kepada/in polisi/nnc untuk/in melakukan/vbt penangkapan/pengolahan ,/,	memberi/vbt	kekuasaan/nnu lebih/rb besar/jj kepada/in pihak/nnc berwenang/nn untuk/in mengontrol/nn komunikasi/
ketika/nn sayap/nn berada/vbi dalam/in gerakan/nnc ke/in atas/in ,/, bulu-bulunya/nn terbuka/jj ,/,	memberi/vbt	jalan/nnc pada/in aliran/nnu udara/nn ./.
saran/nn pemegang/nnc obligasi/nn ,/, mengatakan/vbi bahwa/sc revco/nn sangat/rb lamban/nn dalam/in	memberi/vbt	tanggapan/nn kepada/in proposal/nn ./.
negara/nn islam/nn irak/nn telah/md	memberi/vbt	pemerintah/nnc -lrb-/nn perdana/nn menteri/nn nuri/nn -rrb-/nn al-maliki/nn waktu/nnc 24/cdp jam/nn
ia/nn memuji/vbt para/dt imam/nn arab/nn saudi/nn karena/cc	memberi/vbt	saran/nn yang/sc jelas/vbt kepada/in jamaah/nn haji/nn mengenai/vbt tatacara/nn pelaksanaan/nn jumr
eraguan/nn tentang/in pencalonannya/nn ,/, warga/nnc kulit/nnc putih/nn new/nn york/nn --/-- yang/sc	memberi/vbt	mr./nn dinkins/nn 30/cdp %/sym dari/in suara/nnc mereka/prp di/in pemilihan/nnu pendahuluan/nn -/-
seorang/nn pejabat/nnc militer/nn senior/nn as/nn ,/, yang/sc	memberi/vbt	informasi/nnu kepada/in wartawan/nnc asalkan/nn identitasnya/nn tidak/neg diungkap/nn ,/, mengataka
radio/nn jovem/nn pan/nn terjadi/nn kesalahan/nnc prosedural/nn ketika/sc ia/prp menulis/vbt ia/prp	memberi/vbt	kartu/nnc pada/in pemain/nnc nomor/nn lima/cdp bukannya/nn nomor/nn delapan/cdp ./.
kami/prp berhenti/vbi	memberi/vbt	kemudahan/nn dan/cc membuat/vbt mereka/prp sedikit/jj keluar/rb dari/in ritme/nn dan/cc zona/nn nya
saat/sc ini/dt akan/md dinaikkan/nn menjadi/vbt $/nn 124,875/nn ,/, dan/cc undang-undang/nnc ini/dt	memberi/vbt	departemen/nnc perumahan/nn dan/cc pengembangan/nnp kota/nnc kekuasaan/nnu baru/rb untuk/in memfasi
i/nn ,/, pemain/nnc tengah/nnp chelsea/nn john/nn obi/nn mikel/nn mencetak/nn satu/cdp gol/nn dan/cc	memberi/vbt	umpan/nn matang/nn pada/in gol/nn lainnya/nng saat/sc nigeria/nn akhirnya/rb menang/nn ./.
i/sc penglihatan/nn baru-baru/nns ini/dt ,/, seringkali/jj ada/vbi satu/cdp dua/cdp detil/nn yang/sc	memberi/vbt	kesan/nn mereka/prp mungkin/rb sebenarnya/rb agak/rb sedikit/jj bodoh/nn ./.
bahwa/sc perubahan/nnu serupa/jj yang/sc diamati/nn pada/in perokok/nn dan/cc mantan/nnc perokok/nn	memberi/vbt	sumbangan/nn bagi/in kecanduan/nn mereka/prp ,/, kata/vbt hope/nn dalam/in suatu/dt pernytaan/nn ./
ekonomi/nnu dengan/in cara/nnc membuat/vbt kredit/nn tersedia/vbi dengan/in mudah/jj ,/, kemudian/sc	memberi/vbt	lampu/nn merah/nn dan/cc menghentikan/vbt pertumbuhan/nnu secara/in mendadak/vbt ./.
seorang/nn diplomat/nn belanda/nn di/in nigeria/nn mengatakan/vbi ia/prp tak/neg dapat/md	memberi/vbt	komentar/nn ./.
erakting/nn di/in luar/jj naskah/nn tidak/neg berguna/vbi di/in cbs/nn news/nn ,/, yang/sc pernah/rb	memberi/vbt	gengsi/nn ke/in jaringan/nnc dan/cc membuat/vbt standar/nnc untuk/in industri/nnu ./.
burns/nn menyebut/vbt rencana/nnu tersebut/dt usul/nn kredibel/nn yang/sc serius/jj guna/nn	memberi/vbt	otonomi/nn nyata/nn bagi/in sahara/nn barat/nn ,/, demikian/dt antara/nnp lain/jj isi/nn pernyataan
