LEFT	NODE	RIGHT	SYNTAX	DATIVE_PREP_TYPE	ARG_ORDER
para/dt pemain/nnc yang/sc akan/md berkompetisi/nn dalam/in turnamen/nn kualifikasi/nn	memberi	kamu/nn peluang/nnu besar/jj untuk/in lolos/nn ke/in olimpiade/nn di/in beijing/nn ,/, katanya/nng	objek ganda	NA	REC_TH
ic/nn remy/nn ,/, yang/sc dipinjam/nn oleh/in lyon/nn selama/sc bursa/nnc transfer/nn januari/nn ,/,	memberi	tim/nnp tuan/nnc rumah/nnc keunggulan/nn saat/sc waktu/nnc pertandingan/nnc tersisa/vbt 17/cdp meni	objek ganda	NA	REC_TH
selain/nn beras/nnc ,/, saya/prp tidak/neg melihat/vbi ada/vbi yang/sc	memberi	kontribusi/cdp signifikan/nn terhadap/in laju/nnc inflasi/nn ,/, katanya/nng ./.	datif	terhadap	NA
unia/nn piala/nn fed/nn 3-2/nn atas/in prancis/nn pada/in akhir/jj pekan/nn lalu/jj ketika/sc ia/prp	memberi	tim/nnp tuan/nnc rumah/nnc poin/nn pertama/cdo dengan/in kemenangan/nn mengejutkan/vbt atas/in razz	objek ganda	NA	REC_TH
amendemen/nn pasal/nnc 179/nn ,/, menurut/vbt amnesti/nn internsional/nn ,/, akan/md	memberi	wewenang/nn lebih/rb besar/jj kepada/in polisi/nnc untuk/in melakukan/vbt penangkapan/pengolahan ,/	datif	kepada	NA
di/in ibukota/nn yang/sc baru/rb direbut/nn ,/, pemerintah/nnc	memberi	warga/nnc dan/cc anggota/nnc milisi/nn waktu/nnc tiga/cdp hari/nnc mulai/rb selasa/nn untuk/in meny	objek ganda	NA	REC_TH
ikan/vbt pembiayaan/nn jangka/nn panjang/jj untuk/in danamon/nn untuk/in membantu/vbt bank/nn itu/dt	memberi	pembiayaan/nn yang/sc lebih/rb besar/jj pada/in ukm/nn ./.	datif	pada	NA
bahkan/nn tanpa/rb ancaman/nnu khusus/jj pengambil/nn alihan/nn ,/, courtaulds/nn	memberi	pemegang/nnc saham/nnc `/nn pilihan/nnc dan/cc nilai/nnc ''/nn ,/, kata/vbt julia/nn blake/nn ,/, s	objek ganda	NA	REC_TH
kedua/cdp dan/cc deivid/nn memperbaiki/vbt kesalahannya/nn dengan/in menjebloskan/nn bola/nn dan/cc	memberi	angka/nnc kemenangan/nn bagi/in timnya/nn pada/in akhir/jj pertandingan/nnc ./.	datif	bagi	NA
i/nn demikian/dt ,/, sri/nn mulyani/nn mengakui/vbi setidaknya/nn ada/vbi tiga/cdp faktor/nn yang/sc	memberi	resiko/nn terhadap/in proyeksi/nn ekonomi/nnu 2007/nn dan/cc 2008/nn yaitu/sc pertama/cdo ,/, menur	datif	terhadap	NA
korea/nn selatan/nn	memberi	pinjaman/nn lunak/nn kepada/in indonesia/nn melalui/vbt economic/nn development/nn project/nn senil	datif	kepada	NA
sebelumnya/nn pada/in hari/nnc yang/sc sama/in ,/, dua/cdp gol/nn dari/in loris/nn arnaud/nn	memberi	paris/nn st/nn germain/nn kemenangan/nn 2-1/nn atas/in tim/nnp ligue/nn 2/cdp bastia/nn dalam/in pe	objek ganda	NA	REC_TH
sementara/nn itu/dt ,/, pemerintah/nnc peru/nn mendesak/vbi pelancong/nn dan/cc warganya/nn agar/in	memberi	suara/nnc untuk/in objek/nn wisata/nn machu/nn picchu/nn di/in andea/nn sebagai/sc salah/jj satu/cd	datif	untuk	NA
ol/nn pun/rp dalam/in empat/cdp kali/nnc upaya/nn tendangan/nn penalti/nn mereka/prp ,/, sehingga/sc	memberi	kesempatan/nnu kepada/in klub/nnc divisi/nnp keempat/cdo itu/dt untuk/in menang/nn dengan/in dua/cd	datif	kepada	NA
senegal/nn ,/, kamis/nn ,/,	memberi	penghormatan/nn bagi/in lima/cdp prajuritnya/nn yang/sc tewas/jj di/in wilayah/nnc darfur/nn ,/, su	datif	bagi	NA
a/nn pertandingan/nnc namun/cc gagal/jj memanfatkan/nn keuntungan/nn tersebut/dt dan/cc capdevila/nn	memberi	spanyol/nn memimpin/vbt ketika/sc ia/prp menyarangkan/nn bola/nn dari/in jarak/nn dua/cdp meter/nnc	objek ganda	NA	REC_TH-clausal
besar/jj dan/cc kami/prp kecolongan/nn dari/in pojok/nnc serta/cc gol/nn kedua/cdp dari/in karena/cc	memberi	ruang/nnc gerak/nn terlalu/rb besar/jj bagi/in fernando/nn torres/nn ,/, katanya/nng ./.	datif	bagi	NA
dalam/nn kecamannya/nn ,/, amnesty/nn mengatakan/vbi perubahan/nnu tersebut/dt akan/md	memberi	kekuasaan/nnu besar/jj untuk/in melakukan/vbt penangkapan/pengolahan kepada/in polisi/nnc ,/, mengi	datif	kepada	NA
